metodo,tempo,iteracoes
mergeSort_2048_numeros,694400,99244
mergeSort_1048576_numeros,422027100,88459082
mergeSort_32_numeros,23100,784
mergeSort_2048_numeros,927600,99180
mergeSort_1048576_numeros,407910400,88456566
mergeSort_32_numeros,26900,778
mergeSort_2048_numeros,1098200,99302
mergeSort_1048576_numeros,430749100,88456358
mergeSort_32_numeros,32800,776
mergeSort_2048_numeros,825500,99266
mergeSort_1048576_numeros,413272300,88456234
mergeSort_32_numeros,30300,782
mergeSort_2048_numeros,635600,99302
mergeSort_1048576_numeros,414485300,88453760
mergeSort_32_numeros,36100,782
mergeSort_2048_numeros,709300,99310
mergeSort_1048576_numeros,418651500,88454996
mergeSort_32_numeros,37600,784
mergeSort_2048_numeros,1576900,99246
mergeSort_1048576_numeros,445132000,88453636
mergeSort_32_numeros,29900,776
mergeSort_2048_numeros,888800,99270
mergeSort_1048576_numeros,413244900,88457916
mergeSort_32_numeros,37300,770
mergeSort_2048_numeros,1374800,99178
mergeSort_1048576_numeros,414754000,88457132
mergeSort_32_numeros,37400,788
mergeSort_2048_numeros,861800,99180
mergeSort_1048576_numeros,426384100,88456228
mergeSort_32_numeros,36000,788
mergeSort_2048_numeros,721100,99142
mergeSort_1048576_numeros,417267800,88457050
mergeSort_32_numeros,36800,770
mergeSort_2048_numeros,1287200,99224
mergeSort_1048576_numeros,409966900,88454882
mergeSort_32_numeros,22700,774
mergeSort_2048_numeros,868400,99188
mergeSort_1048576_numeros,421959100,88453660
mergeSort_32_numeros,29500,782
mergeSort_2048_numeros,550700,99230
mergeSort_1048576_numeros,434716300,88454458
mergeSort_32_numeros,21000,786
mergeSort_2048_numeros,667800,99176
mergeSort_1048576_numeros,423312200,88458410
mergeSort_32_numeros,74600,780
mergeSort_2048_numeros,592000,99188
mergeSort_1048576_numeros,442571800,88453628
mergeSort_32_numeros,25400,786
mergeSort_2048_numeros,804400,99264
mergeSort_1048576_numeros,422953700,88459324
mergeSort_32_numeros,22800,780
mergeSort_2048_numeros,669900,99176
mergeSort_1048576_numeros,422547900,88456294
mergeSort_32_numeros,37500,778
mergeSort_2048_numeros,1049900,99262
mergeSort_1048576_numeros,414604500,88456322
mergeSort_32_numeros,23000,784
mergeSort_2048_numeros,709300,99058
mergeSort_1048576_numeros,434379500,88451650
mergeSort_32_numeros,38200,780
mergeSort_2048_numeros,1404400,99250
mergeSort_1048576_numeros,422634100,88455214
mergeSort_32_numeros,29900,784
mergeSort_2048_numeros,1203500,99274
mergeSort_1048576_numeros,407999500,88453360
mergeSort_32_numeros,19700,784
mergeSort_2048_numeros,1276600,99204
mergeSort_1048576_numeros,416236300,88458008
